Order Date,Region,Category,Sales,Profit
2023-05-11,East,Technology,483.98,99.71
2023-11-11,West,Furniture,1038.21,305.52
2021-05-02,Central,Technology,1598.98,73.21
2022-04-12,West,Furniture,1668.33,266.41
2021-11-27,East,Furniture,1696.11,245.32
2021-03-29,South,Furniture,690.34,120.83
2023-05-22,South,Office Supplies,1591.04,-134.72
2021-05-11,Central,Furniture,440.11,7.34
2023-02-09,South,Office Supplies,1482.08,390.88
2021-12-10,Central,Office Supplies,1897.8,131.95
2023-03-17,West,Office Supplies,47.21,13.42
2022-01-21,Central,Technology,891.92,-13.02
2023-08-14,Central,Furniture,1302.59,389.43
2021-10-04,Central,Technology,1409.52,252.35
2022-04-05,South,Office Supplies,368.65,77.62
2021-01-22,Central,Furniture,1944.92,114.25
2021-09-10,East,Technology,1238.23,325.41
2023-01-18,Central,Office Supplies,345.39,40.82
2023-05-07,West,Technology,60.63,10.45
2022-04-20,East,Technology,1570.86,-97.51
2023-12-19,West,Furniture,177.82,27.15
2022-05-26,West,Furniture,299.28,75.31
2022-12-01,West,Technology,1158.16,-33.22
2023-09-03,East,Furniture,1214.94,237.02
2021-07-09,East,Furniture,1380.04,-123.98
2023-08-16,South,Technology,799.16,216.16
2022-11-18,East,Furniture,1552.32,455.09
2023-08-16,Central,Furniture,1949.23,81.23
2022-07-17,West,Office Supplies,556.77,-31.83
2023-04-12,South,Furniture,1412.0,230.76
2022-10-09,East,Office Supplies,1858.37,-163.66
2021-01-21,West,Technology,1378.85,128.23
2023-04-21,East,Office Supplies,1368.6,11.92
2021-06-16,South,Technology,463.07,41.37
2022-01-23,East,Furniture,1079.56,-100.06
2022-08-24,East,Furniture,1133.8,-89.97
2021-11-12,West,Office Supplies,1406.26,-131.64
2021-01-14,Central,Technology,1993.71,294.38
2021-08-30,East,Furniture,86.61,10.74
2023-02-16,South,Office Supplies,149.16,-1.0
2022-07-19,East,Office Supplies,174.34,27.66
2023-06-17,East,Office Supplies,1491.1,378.27
2021-04-02,Central,Furniture,289.98,3.17
2023-08-14,West,Technology,1252.45,291.57
2022-05-24,South,Furniture,662.84,109.37
2023-02-15,West,Furniture,925.49,-80.03
2021-02-04,West,Technology,447.01,22.38
2021-07-25,West,Office Supplies,1734.89,178.87
2023-10-23,East,Furniture,1180.58,227.47
2023-10-19,Central,Office Supplies,1890.24,28.07
2022-07-20,East,Office Supplies,1157.7,339.31
2022-12-04,South,Technology,265.34,46.12
2022-02-06,Central,Technology,358.32,17.6
2022-12-31,West,Technology,1978.37,-121.06
2021-06-11,Central,Office Supplies,1456.62,-39.99
2021-07-21,South,Office Supplies,117.57,11.17
2023-09-23,East,Furniture,1413.49,138.35
2021-09-27,East,Office Supplies,836.1,173.15
2023-03-27,West,Technology,628.27,119.67
2022-04-01,East,Technology,325.04,-6.34
2023-10-14,East,Technology,1683.01,232.23
2021-10-23,South,Technology,146.41,-13.43
2022-12-21,Central,Office Supplies,593.87,35.29
2021-12-04,East,Technology,626.64,128.86
2023-05-29,South,Furniture,338.59,20.25
2023-12-13,South,Office Supplies,1026.21,240.38
2023-03-03,West,Technology,43.17,12.54
2021-08-05,South,Furniture,615.93,88.01
2023-02-03,West,Technology,1868.59,-78.48
2021-07-07,East,Office Supplies,634.85,32.93
2022-01-15,West,Office Supplies,733.71,-70.59
2022-05-08,South,Furniture,956.87,135.01
2023-12-01,Central,Office Supplies,1132.15,258.84
2021-01-15,Central,Furniture,1621.24,246.39
2021-03-06,East,Technology,396.84,85.1
2022-06-05,East,Office Supplies,1746.06,384.07
2022-10-10,Central,Technology,1519.95,365.4
2023-12-23,West,Technology,1450.85,9.67
2022-08-16,East,Office Supplies,191.87,47.68
2022-01-27,South,Technology,62.85,10.16
2022-02-23,East,Furniture,1196.15,19.01
2021-10-16,West,Furniture,1729.01,509.92
2022-01-14,East,Furniture,1177.19,329.7
2021-08-19,South,Office Supplies,442.21,57.39
2023-10-15,South,Technology,199.23,47.27
2021-02-10,South,Technology,1405.2,6.46
2023-11-18,West,Technology,1449.11,96.24
2021-05-15,West,Technology,361.61,-9.55
2021-07-20,South,Furniture,75.82,8.19
2023-02-19,South,Office Supplies,828.4,81.52
2023-07-19,West,Furniture,1173.78,-17.46
2023-11-23,West,Furniture,1417.88,239.79
2023-12-08,West,Office Supplies,1623.69,-85.87
2022-05-18,Central,Office Supplies,1228.86,-92.56
2022-02-11,West,Furniture,239.54,12.93
2023-03-16,South,Technology,1371.51,87.68
2021-04-09,Central,Office Supplies,1968.67,54.92
2022-11-15,West,Office Supplies,1813.06,5.76
2022-12-27,South,Furniture,1745.9,62.0
2023-08-19,East,Technology,618.3,-21.42
2022-09-05,Central,Office Supplies,1506.56,92.47
2022-10-05,South,Furniture,1705.18,446.49
2023-10-26,East,Office Supplies,1363.09,-13.94
2022-05-18,South,Technology,516.11,89.69
2023-02-06,West,Furniture,1908.59,-82.62
2022-02-02,West,Furniture,912.62,37.93
2023-05-21,East,Technology,277.02,7.89
2023-03-06,West,Furniture,237.36,65.23
2022-01-28,South,Technology,1302.09,92.7
2021-07-26,East,Furniture,886.67,156.22
2023-11-05,South,Technology,207.08,29.2
2023-06-11,South,Office Supplies,1485.92,-64.77
2023-05-14,South,Office Supplies,1602.66,442.04
2023-01-13,West,Office Supplies,1456.32,55.85
2022-07-18,West,Furniture,420.48,-34.52
2023-10-18,South,Technology,1385.76,27.96
2021-04-06,Central,Technology,41.23,1.41
2022-04-30,South,Office Supplies,624.12,-39.26
2021-08-19,South,Office Supplies,809.67,119.82
2023-01-19,East,Office Supplies,1673.79,64.79
2022-06-25,South,Technology,792.98,120.26
2023-11-26,West,Office Supplies,42.31,-4.12
2022-06-09,East,Furniture,717.65,210.14
2022-08-01,Central,Office Supplies,1007.87,-32.04
2022-11-13,East,Office Supplies,1899.03,310.93
2022-07-11,Central,Technology,1883.25,350.88
2023-10-10,East,Furniture,378.13,-11.86
2022-10-08,East,Technology,386.59,-21.38
2023-03-07,Central,Furniture,343.5,-13.39
2023-11-18,West,Furniture,1582.07,-2.01
2021-07-09,West,Office Supplies,31.92,-1.04
2022-09-25,West,Office Supplies,271.81,46.1
2022-09-20,East,Technology,1085.16,74.15
2023-08-31,South,Technology,510.17,58.73
2022-12-11,East,Technology,202.87,-16.45
2022-10-11,South,Furniture,732.56,179.11
2021-11-14,South,Technology,562.93,-17.89
2022-11-15,West,Furniture,1031.99,45.47
2022-10-26,South,Furniture,1958.88,-139.55
2022-03-18,East,Furniture,266.12,-12.05
2022-07-18,East,Furniture,758.0,126.07
2023-08-10,West,Furniture,1865.33,330.23
2022-11-30,Central,Office Supplies,1756.21,299.94
2021-04-23,East,Furniture,800.66,96.76
2021-01-02,South,Furniture,1403.93,394.52
2022-10-04,East,Office Supplies,193.96,19.95
2021-08-08,East,Office Supplies,1430.83,114.13
2023-05-05,East,Office Supplies,1946.26,-1.91
2022-01-20,Central,Technology,1084.23,-65.55
2023-12-13,South,Technology,1007.01,120.1
2022-12-31,West,Furniture,390.89,10.15
2021-09-04,East,Furniture,1274.9,139.74
2023-04-16,South,Furniture,1189.07,-20.87
2021-07-22,South,Furniture,1310.83,308.4
2021-05-03,West,Office Supplies,71.64,21.48
2022-02-05,East,Technology,1106.47,32.04
